iter	RMSE
0	77174.99261
1	75131.35786
2	73229.18259
3	71282.48827
4	69547.18313
5	67778.61953
6	66085.93239
7	64457.05165
8	62945.12753
9	61535.15208
10	59979.22457
11	58562.49075
12	57226.6328
13	55936.38324
14	54710.67904
15	53434.74169
16	52251.76647
17	51150.3375
18	50164.39547
19	49149.06151
20	48205.92
21	47189.36749
22	46222.57856
23	45361.13338
24	44569.45884
25	43778.73043
26	43027.57483
27	42416.17218
28	41621.06615
29	40901.03689
30	40251.00633
31	39557.45377
32	38993.2812
33	38426.10346
34	37827.64972
35	37245.39199
36	36705.84331
37	36113.89771
38	35530.29167
39	35010.52913
40	34553.52018
41	34074.74189
42	33633.78369
43	33231.16163
44	32814.16812
45	32381.0445
46	31996.24922
47	31653.94259
48	31334.67447
49	31003.99607
50	30683.27834
51	30343.09595
52	30034.77865
53	29704.49628
54	29383.0559
55	29132.3484
56	28843.40697
57	28579.92912
58	28336.25284
59	28070.78406
60	27814.91164
61	27581.77248
62	27323.58027
63	27125.47456
64	26900.34499
65	26670.09631
66	26442.60262
67	26215.88232
68	26048.49569
69	25887.08687
70	25669.47027
71	25505.23721
72	25340.3941
73	25203.10268
74	25003.24405
75	24839.34964
76	24703.23382
77	24524.91149
78	24394.92753
79	24238.3339
80	24072.6698
81	23935.79336
82	23788.34627
83	23618.93713
84	23505.2957
85	23377.97803
86	23245.8193
87	23082.21676
88	22989.45557
89	22902.62735
90	22775.36341
91	22680.26144
92	22658.453
93	22527.35012
94	22439.44306
95	22342.81524
96	22222.65573
97	22120.13323
98	22035.50104
99	21939.92104
100	21854.38485
101	21761.63135
102	21669.13112
103	21578.15406
104	21488.79347
105	21407.06303
106	21316.67531
107	21231.24621
108	21140.68652
109	21064.93725
110	21001.1773
111	20908.35719
112	20847.97439
113	20779.25445
114	20716.51181
115	20631.0407
116	20548.5166
117	20484.25904
118	20406.01909
119	20322.57567
120	20252.73876
121	20198.95865
122	20121.4594
123	20109.8881
124	20032.2335
125	19955.11886
126	19899.87474
127	19847.71906
128	19791.34767
129	19755.78923
130	19695.54278
131	19638.01149
132	19581.0486
133	19506.12492
134	19454.68175
135	19379.56841
136	19334.19404
137	19266.78891
138	19220.59523
139	19171.43355
140	19123.03757
141	19077.99632
142	19010.79152
143	18967.00061
144	18910.73886
145	18851.1564
146	18795.40647
147	18763.66401
148	18704.82767
149	18664.38741
150	18645.0685
151	18592.09794
152	18536.31186
153	18491.36816
154	18447.63068
155	18405.6469
156	18381.01887
157	18341.62829
158	18303.63674
159	18255.48171
160	18219.81258
161	18187.9527
162	18157.73032
163	18106.94451
164	18061.93431
165	18002.9326
166	17964.67789
167	17919.09928
168	17866.56902
169	17829.97044
170	17798.75557
171	17745.35922
172	17702.52994
173	17674.9625
174	17644.57885
175	17599.54224
176	17555.16298
177	17524.97197
178	17476.86905
179	17430.57029
180	17393.85317
181	17368.60858
182	17332.98489
183	17306.90877
184	17265.35943
185	17226.193
186	17194.04227
187	17176.89362
188	17156.64123
189	17119.79563
190	17094.54678
191	17068.68097
192	17032.50628
193	16997.96484
194	16951.32089
195	16919.0765
196	16890.28718
197	16861.33584
198	16828.43222
199	16791.30791
200	16771.31046
201	16751.832
202	16723.85982
203	16685.61159
204	16673.25421
205	16637.4112
206	16600.40332
207	16586.89296
208	16569.69098
209	16543.95046
210	16504.93562
211	16464.28051
212	16433.87423
213	16418.60192
214	16402.35409
215	16365.61695
216	16349.48069
217	16314.58759
218	16295.35632
219	16276.68984
220	16261.09123
221	16246.03784
222	16209.87082
223	16180.9902
224	16139.95402
225	16100.65267
226	16079.13867
227	16070.3047
228	16039.54478
229	16026.16578
230	15995.24479
231	15966.16996
232	15937.10587
233	15901.94083
234	15877.98485
235	15850.4581
236	15830.82768
237	15814.53183
238	15806.31648
239	15784.04451
240	15770.80093
241	15745.83115
242	15714.34609
243	15675.58426
244	15644.32264
245	15611.13254
246	15581.01455
247	15571.7093
248	15545.58305
249	15527.78879
250	15493.80638
251	15466.52362
252	15444.81059
253	15429.03585
254	15393.49628
255	15361.10415
256	15343.06735
257	15315.50751
258	15298.44473
259	15268.79757
260	15228.17786
261	15213.90466
262	15181.99219
263	15136.84633
264	15094.42694
265	15068.21518
266	15033.09458
