iter	Passed	Remaining
0	3	3434
1	7	3503
2	10	3508
3	14	3556
4	17	3503
5	20	3455
6	24	3405
7	27	3421
8	31	3428
9	34	3416
10	38	3416
11	41	3416
12	46	3526
13	50	3523
14	53	3524
15	56	3498
16	60	3484
17	63	3463
18	66	3450
19	70	3434
20	73	3425
21	76	3409
22	79	3392
23	83	3379
24	86	3371
25	90	3373
26	93	3367
27	97	3380
28	101	3389
29	105	3410
30	108	3405
31	112	3398
32	115	3393
33	119	3389
34	123	3395
35	126	3397
36	130	3397
37	134	3393
38	137	3398
39	141	3399
40	145	3394
41	148	3388
42	152	3390
43	155	3382
44	159	3376
45	162	3370
46	165	3364
47	169	3355
48	172	3347
49	175	3336
50	178	3330
51	182	3323
52	185	3314
53	188	3307
54	192	3300
55	195	3292
56	198	3289
57	202	3282
58	205	3277
59	208	3271
60	212	3265
61	215	3258
62	218	3252
63	222	3247
64	225	3241
65	228	3238
66	232	3232
67	235	3225
68	238	3220
69	244	3242
70	247	3241
71	251	3241
72	255	3244
73	259	3245
74	262	3243
75	266	3243
76	270	3243
77	275	3252
78	278	3252
79	282	3252
80	286	3252
81	290	3250
82	294	3252
83	298	3250
84	302	3252
85	305	3250
86	309	3250
87	313	3249
88	317	3247
89	320	3245
90	324	3242
91	328	3239
92	332	3239
93	335	3238
94	339	3234
95	343	3230
96	346	3228
97	350	3229
98	354	3225
99	358	3223
100	361	3220
101	365	3216
102	368	3213
103	372	3210
104	376	3207
105	379	3203
106	383	3199
107	386	3195
108	390	3191
109	394	3188
110	397	3186
111	401	3182
112	404	3178
113	408	3176
114	412	3174
115	416	3170
116	419	3167
117	423	3164
118	427	3162
119	430	3159
120	434	3156
121	438	3154
122	441	3150
123	445	3148
124	449	3146
125	453	3143
126	456	3140
127	460	3138
128	464	3133
129	467	3127
130	470	3122
131	473	3116
132	477	3110
133	480	3104
134	483	3098
135	486	3092
136	490	3087
137	493	3082
138	496	3076
139	499	3070
140	503	3065
141	506	3059
142	509	3055
143	513	3050
144	516	3045
145	519	3040
146	523	3034
147	526	3029
148	529	3026
149	533	3021
150	536	3015
151	539	3010
152	542	3005
153	548	3013
154	551	3007
155	554	3001
156	558	2998
157	561	2993
158	564	2987
159	568	2982
160	571	2976
161	574	2972
162	577	2967
163	581	2962
164	584	2956
165	587	2951
166	590	2947
167	594	2941
168	597	2936
169	600	2932
170	603	2927
171	607	2922
172	610	2917
173	613	2912
174	616	2908
175	620	2903
176	623	2898
177	626	2893
